,track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,key,mode,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
133,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",721975598,254,22,D,Minor,-0.5898592895097968,0.31609199953442124,-1.4638715293860611,-0.29276679823434876,0.2346823738629277,1.5541714959856265,0.6930968167618096,1.1729500379069953,4.027779513106032,0.02972705104974067,0.48307862041039884,-0.18852093383948015,-0.2889624693059248,0.14580379697417126,-0.1352189508835078,-0.6850718171512503,-0.6585312977849064
136,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",276259178,30,176,C#,Minor,1.2026257358937609,0.21575042158891,1.7040163874437368,-1.2215101210115564,-0.36691482057064,1.6543889822327427,-0.46628852563312784,0.8147905607205007,-0.32426828036718514,-0.08192775269308511,0.25176254465039677,-0.2755519844172932,-0.9988938106933223,-0.2588556080270508,-0.1352189508835078,-0.08029359436370039,1.8593661706201465
141,Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",81102253,26,66,D#,Minor,2.9951107612973185,0.31609199953442124,-0.3119122869024982,0.532782822012058,-0.5751371053337675,-0.29985199958601966,-0.6859615378763791,-0.7969270866187248,-0.32426828036718514,0.10416358687829119,0.945710771930403,0.46421194549411765,-1.2118732131095415,1.9442900414240472,-0.1352189508835078,-0.41628149591233926,-0.5717072471502495
142,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",11956641,30,66,B,Minor,-0.5898592895097968,0.31609199953442124,-0.023922476281607527,-1.3247038235423572,-0.5736487401817795,-0.24974325646246162,-0.6981655941121153,-0.936211327746806,-0.16883800202885596,0.4391279981067685,1.6396589992104091,0.5947585213608372,-0.1469762010284453,0.8202361386428747,-0.1352189508835078,-0.48347907622206704,1.0779497149082338
145,Stargirl Interlude,"The Weeknd, Lana Del Rey",611700552,5,1,F,Minor,-0.5898592895097968,-0.3862990460841574,1.416026576822846,1.0487513346660622,-0.4274912822565534,0.9528665785029304,-0.6005331442262258,-0.8168248353513079,-0.4796985587055143,-1.1612575222070676,-0.9819231927362809,-0.10148988326166712,-1.353859481387021,0.6403875141978871,1.2570024841999772,-0.6178742368415225,-0.1375869939769644
146,Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",1133865788,99,28,D#,Minor,-0.5898592895097968,0.21575042158891,-0.3119122869024982,-0.808735310888353,0.29585418160963634,1.2535190372442786,0.10730211744647278,1.2724387815699103,1.540895059692765,-1.5334402013498203,-0.5192910412162768,-1.18937801548433,0.1369963355265137,-0.7084771691395197,-0.1352189508835078,2.2716217164767714,-0.7453553484195634
153,Nosso Quadro,"Ana Castela, AgroPlay",233801632,66,72,A,Major,-0.5898592895097968,0.31609199953442124,-1.1758817187651704,-1.2215101210115564,-0.48419799454729795,-0.1996345133389036,-0.5883290879904897,0.7749950632553346,-0.013407723690526783,1.4440212317922005,-0.21086960686960737,0.29014984433849156,0.27898260380399315,0.41557673364165265,-0.1352189508835078,0.7932749496627607,0.6438294617349487
155,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",142095275,12,56,B,Major,1.2026257358937609,0.31609199953442124,-0.599902097523389,-1.0151227159499547,-0.5337605541084999,0.050909202278886415,-0.7103696503478515,-0.6974383429558096,0.29745283298613157,2.635005805049009,-1.6758714200162872,1.334522451272248,-1.069886944832062,-0.5735907008057791,-0.1352189508835078,0.5916822087335774,-0.5717072471502495
160,PRC,"Natanael Cano, Peso Pluma",436027885,10,15,G,Minor,-0.5898592895097968,0.31609199953442124,-1.4638715293860611,0.9455576321352613,-0.47422594802897805,0.6522141197615825,-0.5273088068118088,1.8693712435474013,0.45288311132446074,0.6252193376781449,0.48307862041039884,1.5085845524278743,1.1309002134688702,-0.618552856917026,-0.1352189508835078,-0.48347907622206704,-0.6585312977849064
162,One Dance,"Drake, WizKid, Kyla",2713922350,"3,631",26,C#,Major,1.2026257358937609,-0.3862990460841574,-0.599902097523389,-1.0151227159499547,5.820963298819657,0.5519966335144665,4.525170474782971,1.1530522891744122,-0.4796985587055143,-0.640201771407214,0.40597326182373145,-0.7977382878841714,-0.2889624693059248,-1.023212261918248,-0.1352189508835078,1.1292628512113996,-0.6585312977849064
168,We Found Love,"Rihanna, Calvin Harris",1235005533,"4,607",58,C#,Major,-0.5898592895097968,-0.8880069358117135,-1.4638715293860611,-1.3247038235423572,4.866325890334524,0.40167040414379246,3.1583161763805188,0.8346883094530837,-0.32426828036718514,0.2530366585353922,0.09755182747706205,0.24663431904958505,0.7049414086364316,-0.9332879496957542,-0.1352189508835078,-0.5506766565317948,-0.7453553484195634
